"","Block","Base_File","Repeated","Insert","Degredation","Image"
"36",1,"049b.jpg",1,NA,25,"049b.jpg"
"37",1,"050a.jpg",1,NA,75,"050a.jpg"
"38",1,"051a.jpg",1,NA,25,"051a.jpg"
"39",1,"053b.jpg",1,NA,25,"053b.jpg"
"40",1,"054b.jpg",1,NA,75,"054b.jpg"
"41",1,"055b.jpg",1,NA,25,"055b.jpg"
"42",1,"057b.jpg",1,NA,50,"057b.jpg"
"43",1,"058b.jpg",1,NA,50,"058b.jpg"
"44",1,"059a.jpg",1,NA,25,"059a.jpg"
"45",1,"060a.jpg",1,NA,75,"060a.jpg"
"46",1,"061b.jpg",1,NA,75,"061b.jpg"
"47",1,"062b.jpg",1,NA,0,"062b.jpg"
"48",1,"063b.jpg",1,NA,25,"063b.jpg"
"49",1,"064b.jpg",1,NA,50,"064b.jpg"
"50",1,"065b.jpg",1,NA,25,"065b.jpg"
"51",1,"066a.jpg",1,NA,50,"066a.jpg"
"52",1,"067b.jpg",1,NA,50,"067b.jpg"
"53",1,"068b.jpg",1,NA,25,"068b.jpg"
"54",1,"070b.jpg",1,NA,25,"070b.jpg"
"55",1,"071a.jpg",1,NA,0,"071a.jpg"
"56",1,"073a.jpg",1,NA,50,"073a.jpg"
"57",1,"074b.jpg",1,NA,75,"074b.jpg"
"58",1,"076b.jpg",1,NA,0,"076b.jpg"
"59",1,"078a.jpg",1,NA,0,"078a.jpg"
"60",1,"079a.jpg",1,NA,25,"079a.jpg"
"61",1,"080b.jpg",1,NA,0,"080b.jpg"
"62",1,"081b.jpg",1,NA,0,"081b.jpg"
"63",1,"082a.jpg",1,NA,0,"082a.jpg"
"64",1,"083a.jpg",1,NA,0,"083a.jpg"
"65",1,"084a.jpg",1,NA,75,"084a.jpg"
"66",1,"085b.jpg",1,NA,25,"085b.jpg"
"67",1,"086a.jpg",1,NA,50,"086a.jpg"
"68",1,"087b.jpg",1,NA,25,"087b.jpg"
"69",1,"088b.jpg",1,NA,50,"088b.jpg"
"70",1,"089a.jpg",1,NA,50,"089a.jpg"
"71",1,"090a.jpg",1,NA,50,"090a.jpg"
"72",1,"091a.jpg",1,NA,75,"091a.jpg"
"73",1,"092b.jpg",1,NA,75,"092b.jpg"
"74",1,"093b.jpg",1,NA,25,"093b.jpg"
"75",1,"094a.jpg",1,NA,25,"094a.jpg"
"76",1,"096b.jpg",1,NA,75,"096b.jpg"
"77",1,"097a.jpg",1,NA,75,"097a.jpg"
"78",1,"098a.jpg",1,NA,0,"098a.jpg"
"79",1,"099a.jpg",1,NA,0,"099a.jpg"
"80",1,"100a.jpg",1,NA,0,"100a.jpg"
"81",1,"009a.jpg",0,4,0,"009a.jpg"
"82",1,"010a.jpg",0,2,0,"010a.jpg"
"83",1,"015a.jpg",0,2,0,"015a.jpg"
"84",1,"022b.jpg",0,4,0,"022b.jpg"
"85",1,"024b.jpg",0,3,0,"024b.jpg"
"86",1,"025a.jpg",0,1,0,"025a.jpg"
"87",1,"026a.jpg",0,3,0,"026a.jpg"
"88",1,"031b.jpg",0,3,0,"031b.jpg"
"89",1,"036a.jpg",0,1,0,"036a.jpg"
"90",1,"037a.jpg",0,2,0,"037a.jpg"
"91",1,"038a.jpg",0,1,0,"038a.jpg"
"92",1,"043a.jpg",0,4,0,"043a.jpg"
"93",1,"044a.jpg",0,2,0,"044a.jpg"
"94",1,"052a.jpg",0,1,0,"052a.jpg"
"95",1,"056a.jpg",0,4,0,"056a.jpg"
"96",1,"069a.jpg",0,4,0,"069a.jpg"
"97",1,"072b.jpg",0,2,0,"072b.jpg"
"98",1,"075b.jpg",0,1,0,"075b.jpg"
"99",1,"077a.jpg",0,3,0,"077a.jpg"
"100",1,"095a.jpg",0,3,0,"095a.jpg"
"101",2,"001a.jpg",1,NA,25,"001a_25_1.png"
"102",2,"002b.jpg",1,NA,75,"002b_75_1.png"
"103",2,"003b.jpg",1,NA,25,"003b_25_1.png"
"104",2,"004b.jpg",1,NA,50,"004b_50_1.png"
"105",2,"005a.jpg",1,NA,50,"005a_50_1.png"
"106",2,"006a.jpg",1,NA,25,"006a_25_1.png"
"107",2,"007b.jpg",1,NA,75,"007b_75_1.png"
"108",2,"008b.jpg",1,NA,75,"008b_75_1.png"
"109",2,"011b.jpg",1,NA,75,"011b_75_1.png"
"110",2,"012a.jpg",1,NA,0,"012a.jpg"
"111",2,"013b.jpg",1,NA,25,"013b_25_1.png"
"112",2,"014b.jpg",1,NA,75,"014b_75_1.png"
